p_call,p_put,p_skip
0.013768638595082514,0.0021692273533531173,0.9840621340515644
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.013200443823046441,0.012770248052442387,0.9740293081245112
0.013221605561605706,0.012748549575438112,0.9740298448629562
0.01316771564942068,0.012530402768219543,0.9743018815823599
0.01317559499611419,0.01633566827420909,0.9704887367296767
0.01317559499611419,0.01633566827420909,0.9704887367296767
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.03720252937634971,0.046164747088037826,0.9166327235356125
0.059776466075858944,0.12480655871327775,0.8154169752108633
0.047116985645135466,0.12974790877993683,0.8231351055749276
0.03346326036380042,0.06575862229963846,0.9007781173365611
0.03628975616251324,0.06936411515857176,0.894346128678915
0.0365533041157452,0.08068071502268782,0.882765980861567
0.013462528552575723,0.0065920611705047975,0.9799454102769195
0.013153008915085387,0.011400428469490163,0.9754465626154245
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.01328535581534796,0.009365022169913202,0.9773496220147389
0.01353246955948471,0.005909950807410186,0.9805575796331051
0.013225483402552309,0.014684338014591108,0.9720901785828566
0.013399253247098272,0.0226830727354265,0.9639176740174753
0.013178455137755861,0.01655240437289844,0.9702691404893456
0.014208345420178037,0.03165540985013262,0.9541362447296894
0.013716579233430946,0.022658727129418455,0.9636246936371506
0.013932975954754765,0.023245705142842545,0.9628213189024027
0.01374861773286544,0.0036479617464407377,0.9826034205206938
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.01386586702054115,0.0024877607905822606,0.9836463721888766
0.013769731678522383,0.0021583747731324103,0.9840718935483452
0.014476436886081294,0.011319894204457066,0.9742036689094618
0.014692060371494772,0.00829456366011529,0.9770133759683899
0.1138241431218706,0.042129506932614476,0.844046349945515
0.11872850324011153,0.05834758841753536,0.8229239083423532
0.1035846003503105,0.08105126774964402,0.8153641319000454
0.11134328825340281,0.06894549971141298,0.8197112120351842
0.09275464487745004,0.07407794071873358,0.8331674144038164
0.13164179471638174,0.08164162443877279,0.7867165808448455
0.10776146997065379,0.08509363942071263,0.8071448906086336
0.08279313320744462,0.08434473160800356,0.8328621351845519
0.14783572792002386,0.08896479021986889,0.7631994818601072
0.1483802291247057,0.08871779417223821,0.762901976703056
0.08475437608191941,0.08736518854354146,0.8278804353745391
0.06103545120050982,0.07763567140645149,0.8613288773930388
0.05954038028528393,0.07625094675502075,0.8642086729596953
0.05215482302256033,0.07482366990738464,0.8730215070700551
0.06254896942253466,0.04892284960381635,0.888528180973649
0.06398740513508486,0.08013150695504767,0.8558810879098675
0.039782583651764854,0.023432351920855937,0.9367850644273792
0.039746463815135906,0.038468439741019336,0.9217850964438448
0.03604316784700339,0.03879632742728588,0.9251605047257108
0.04417125781416666,0.03657032639429398,0.9192584157915393
0.033214828501371925,0.02156934610617648,0.9452158253924516
0.030365072139243134,0.021277525901693545,0.9483574019590634
0.013309510208343363,0.008885332281094735,0.977805157510562
0.04152847788432111,0.03066290636482611,0.9278086157508527
0.046539731332539074,0.027906960025828192,0.9255533086416328
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.0130761697700895,0.013931534016940927,0.9729922962129696
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.014239908546415108,0.008818571685514847,0.9769415197680701
0.013344522422778527,0.008354043613259107,0.9783014339639624
0.015404330665324095,0.0021406987497467034,0.9824549705849293
0.04748412195869986,0.012533337920616712,0.9399825401206835
0.09428160569091325,0.043796586926937164,0.8619218073821495
0.08670199293754814,0.03060296985884426,0.8826950372036075
0.06837952968112693,0.035740549046244,0.895879921272629
0.0686473085829021,0.03974837215806146,0.8916043192590364
0.061807000501608284,0.026367640347287134,0.9118253591511045
0.05461422702933792,0.023477073112729827,0.9219086998579322
0.05318834152419995,0.02072024886438216,0.9260914096114179
0.12162443540850718,0.12094526884053916,0.7574302957509538
0.09447477870762798,0.11170926275542288,0.7938159585369492
0.022992233703784334,0.14865018325775098,0.8283575830384647
0.01823299787176138,0.13974935108574815,0.8420176510424905
0.08044504403280824,0.09229823630647435,0.8272567196607173
0.05963219027155691,0.060204670093210684,0.8801631396352324
0.05184212679786809,0.05712344669862798,0.891034426503504
0.05689612155570972,0.03816443790360182,0.9049394405406885
0.04429647524824871,0.02799460443408818,0.927708920317663
0.05516047409925916,0.058923828451984545,0.8859156974487563
0.03852357272744711,0.03765645073404613,0.9238199765385068
0.03289029726117205,0.03814699841129659,0.9289627043275314
0.023854847625573466,0.039752571078212645,0.9363925812962139
0.023525034740790162,0.030935538259699042,0.9455394269995108
0.02566471856596999,0.02982752448333425,0.9445077569506958
0.019903840722687756,0.01901314760966593,0.9610830116676463
0.04709277292854529,0.05434527523172522,0.8985619518397295
0.0790273822185087,0.10198674721991273,0.8189858705615786
0.05739178674777348,0.09378831859838313,0.8488198946538434
0.04411124443195527,0.07581604735021255,0.8800727082178321
0.04941698417141608,0.08367593313619653,0.8669070826923875
0.047073943175470756,0.08049451128309609,0.8724315455414332
0.04244132859282775,0.07909881213673148,0.8784598592704407
0.04633340815235275,0.05072243359586172,0.9029441582517855
0.048452123361939506,0.05788927715964715,0.8936585994784134
0.05486081096955391,0.05930800803929325,0.8858311809911529
0.05313595753954145,0.06277925644128572,0.8840847860191728
0.04733538627335909,0.04743390193272376,0.9052307117939171
0.046508518764739985,0.051491588453688224,0.9019998927815718
0.05464425795883484,0.05680606863769177,0.8885496734034735
0.052413544526273774,0.045786482448040365,0.9017999730256859
0.0392783443349371,0.041939388307886016,0.9187822673571768
0.04336650313659791,0.04203220063399989,0.9146012962294022
0.04533405381425601,0.04942809765404251,0.9052378485317015
0.014602240758784572,0.02422800009147503,0.9611697591497403
0.046648877279892,0.045514920575163674,0.9078362021449443
0.05308321772329672,0.06483927279129345,0.8820775094854099
0.039990790006601176,0.05251482413753507,0.9074943858558637
0.04232299098477094,0.047871777541280705,0.9098052314739484
0.05537025587505785,0.0967795442698957,0.8478501998550465
0.047166501278667415,0.09827840623155996,0.8545550924897727
0.04682077560640202,0.05732223646876142,0.8958569879248366
0.05003240141844795,0.05226736818253833,0.8977002303990137
0.04309906878288197,0.05089167591132697,0.906009255305791
0.04620319830965615,0.054872876622426,0.8989239250679179
0.046514142921175436,0.05084533753032276,0.9026405195485018
0.04313370408937449,0.04517251161184565,0.9116937842987799
0.04156537208291685,0.04256173770769255,0.9158728902093907
0.04231124812070484,0.048383123384668235,0.9093056284946269
0.048542612295369506,0.04367505016839451,0.9077823375362359
0.0472097980264283,0.04769887397755475,0.905091327996017
0.04651970321301297,0.043822472126469454,0.9096578246605176
0.04685395415205076,0.04695750925345069,0.9061885365944986
0.02751192998712472,0.023355940544162443,0.9491321294687128
0.030423982752675955,0.042870575486832374,0.9267054417604916
0.02480875193747853,0.02466627342490011,0.9505249746376213
0.022810116167267098,0.02433969202045561,0.9528501918122773
0.018375727007002293,0.0222949561258137,0.959329316867184
0.022502010472264244,0.01681966171033658,0.9606783278173991
